iter	Passed	Remaining
965	7075	249
966	7077	241
967	7080	234
968	7082	226
969	7085	219
970	7088	211
971	7090	204
972	7094	196
973	7097	189
974	7099	182
975	7100	174
976	7102	167
977	7105	159
978	7107	152
979	7109	145
980	7112	137
981	7114	130
982	7118	123
983	7121	115
984	7123	108
985	7125	101
986	7127	93
987	7129	86
988	7131	79
989	7133	72
990	7135	64
991	7137	57
992	7139	50
993	7141	43
994	7143	35
995	7145	28
996	7147	21
997	7149	14
998	7151	7
999	7152	0
